Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2018,66,109952,109952,7-9 Waratah Place,Melbourne (CBD),Manchuria,80,144.96699,-37.81162,"(-37.81162489, 144.9669903)"
2018,35,105919,105919,267 Little Collins Street,Melbourne (CBD),Polepole Bar,100,144.96560,-37.81484,"(-37.81483564, 144.9656017)"
2018,25,101789,101789,252-254 Flinders Lane,Melbourne (CBD),Hell's Kitchen,55,144.96560,-37.81660,"(-37.81660364, 144.9655965)"
2018,55,109284,109284,191-205 Swanston Street,Melbourne (CBD),Black Opal,200,144.96500,-37.81310,"(-37.8130993, 144.9650002)"
2018,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Mesa Verde,175,144.96527,-37.81199,"(-37.81199286, 144.9652667)"
2018,64,104659,104659,67-73 Hardware Lane,Melbourne (CBD),The Mill,119,144.96091,-37.81323,"(-37.81323464, 144.9609079)"
2018,23,106436,106436,54-60 Market Street,Melbourne (CBD),Oak & Vine Bar,370,144.96083,-37.81778,"(-37.81777731, 144.9608316)"
2018,35,558610,558610,256 Collins Street,Melbourne (CBD),The Butterfly Club,190,144.96529,-37.81553,"(-37.8155253, 144.9652908)"
2018,66,105694,105694,233-237 Lonsdale Street,Melbourne (CBD),Mezcalito Agave Bar,100,144.96555,-37.81158,"(-37.81158023, 144.9655479)"
2018,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Diesel Bar,375,144.96276,-37.81090,"(-37.81090175, 144.9627564)"
2018,56,101206,101206,188 Bourke Street,Melbourne (CBD),Heros Rooftop Bar,302,144.96761,-37.81270,"(-37.81269743, 144.9676139)"
2018,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Strike Bowling,370,144.96570,-37.81068,"(-37.81067862, 144.9657001)"
2018,35,105919,105919,267 Little Collins Street,Melbourne (CBD),Bar Americano,10,144.96560,-37.81484,"(-37.81483564, 144.9656017)"
2018,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Father's Office,370,144.96570,-37.81068,"(-37.81067862, 144.9657001)"
2018,46,108537,108537,131-141 Russell Street,Melbourne (CBD),QT Melbourne,885,144.96783,-37.81343,"(-37.81342913, 144.9678271)"
2018,64,105700,105700,359-363 Lonsdale Street,Melbourne (CBD),Whitehart,200,144.96188,-37.81275,"(-37.81275037, 144.9618757)"
2018,66,109390,109390,264-266 Swanston Street,Melbourne (CBD),Goldilocks,60,144.96515,-37.81181,"(-37.81181062, 144.9651473)"
2018,36,102152,102152,162-168 Collins Street,Melbourne (CBD),The George on Collins,620,144.96785,-37.81450,"(-37.81450314, 144.9678477)"
2018,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Melbourne Central Lion Hotel,550,144.96276,-37.81090,"(-37.81090175, 144.9627564)"
2018,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Strike Melbourne Central,760,144.96276,-37.81090,"(-37.81090175, 144.9627564)"
2018,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),B. Lucky & Sons,300,144.96276,-37.81090,"(-37.81090175, 144.9627564)"
2018,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Hoyts,300,144.96276,-37.81090,"(-37.81090175, 144.9627564)"
2018,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Cookie,300,144.96527,-37.81199,"(-37.81199286, 144.9652667)"
2018,65,105875,105875,318-322 Little Bourke Street,Melbourne (CBD),Penny Blue,85,144.96313,-37.81293,"(-37.81292516, 144.9631275)"
2018,66,105695,105695,239 Lonsdale Street,Melbourne (CBD),Ferdydurke,100,144.96538,-37.81159,"(-37.81159495, 144.9653779)"
2018,76,589841,105749,221 Little Lonsdale Street,Melbourne (CBD),Idarts Hive,100,144.96570,-37.81068,"(-37.81067862, 144.9657001)"
2018,6,578327,573333,2 Swanston Street,Melbourne (CBD),Zinc at Federation Square,1000,144.97052,-37.81778,"(-37.81777783, 144.9705233)"
