Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x coordinate,y coordinate,Location
2018,228,101450,101450,223-227 Canning Street,Carlton,Dan O'Connell Hotel,4520,"Pubs, Taverns and Bars",Seats - Indoor,75,144.97339,-37.79303,"(-37.79303042, 144.9733888)"
2018,228,101450,101450,223-227 Canning Street,Carlton,Dan O'Connell Hotel,4520,"Pubs, Taverns and Bars",Seats - Outdoor,20,144.97339,-37.79303,"(-37.79303042, 144.9733888)"
2018,248,104445,104445,218-224 Drummond Street,Carlton,La Cacciatora Restaurant,4511,Cafes and Restaurants,Seats - Indoor,80,144.96860,-37.80116,"(-37.80116189, 144.9685977)"
2018,248,104445,104445,218-224 Drummond Street,Carlton,La Cacciatora Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,26,144.96860,-37.80116,"(-37.80116189, 144.9685977)"
2018,246,104447,104447,81-109 Grattan Street,Carlton,Tutto Premium Frozen Yogurt And Dessert,4512,Takeaway Food Services,Seats - Indoor,16,144.96622,-37.80114,"(-37.80114055, 144.9662152)"
2018,246,104447,104447,81-109 Grattan Street,Carlton,Tutto Premium Frozen Yogurt And Dessert,4512,Takeaway Food Services,Seats - Outdoor,20,144.96622,-37.80114,"(-37.80114055, 144.9662152)"
2018,243,104453,104453,163 Grattan Street,Carlton,Animal Orchestra,4511,Cafes and Restaurants,Seats - Indoor,48,144.96342,-37.80060,"(-37.80059702, 144.9634203)"
2018,243,104453,104453,163 Grattan Street,Carlton,Animal Orchestra,4511,Cafes and Restaurants,Seats - Outdoor,88,144.96342,-37.80060,"(-37.80059702, 144.9634203)"
2018,218,104477,104477,48-50 Grattan Street,Carlton,Il Vicolo,4511,Cafes and Restaurants,Seats - Indoor,180,144.96788,-37.80060,"(-37.80059718, 144.9678801)"
2018,218,104477,104477,48-50 Grattan Street,Carlton,Il Vicolo,4511,Cafes and Restaurants,Seats - Outdoor,4,144.96788,-37.80060,"(-37.80059718, 144.9678801)"
2018,243,105654,105654,22-40 Lincoln Square North,Carlton,Lincoln Bakery Cafe,4511,Cafes and Restaurants,Seats - Outdoor,36,144.96273,-37.80134,"(-37.80133608, 144.9627292)"
